big_3_affiliation,year,#_of_connected_artists,#_of_connected_artists_rolling5,total_power_of_connected_artists,total_power_of_connected_artists_rolling5
Other,1958,47,47,4030,4030
Universal,1958,20,20,1828,1828
Warner,1958,7,7,622,622
Other,1959,47,85,4187,8217
Sony,1959,2,2,166,166
Universal,1959,16,31,1270,3098
Warner,1959,4,10,301,923
Other,1960,39,118,3501,11718
Universal,1960,5,34,455,3553
Warner,1960,4,14,391,1314
Other,1961,46,157,3919,15637
Sony,1961,3,5,277,443
Universal,1961,13,45,1076,4629
Warner,1961,6,20,502,1816
Other,1962,45,196,3807,19444
Sony,1962,4,8,291,734
Universal,1962,14,56,979,5608
Warner,1962,6,25,523,2339
Other,1963,54,203,4721,20135
Sony,1963,2,9,123,857
Universal,1963,10,47,948,4728
Warner,1963,5,24,475,2192
Other,1964,45,202,3964,19912
Sony,1964,3,11,296,987
Universal,1964,13,47,1220,4678
Warner,1964,13,32,1182,3073
Other,1965,48,209,4133,20544
Sony,1965,4,14,307,1294
Universal,1965,15,55,1253,5476
Warner,1965,10,36,838,3520
Other,1966,48,209,4159,20784
Sony,1966,2,14,188,1205
Universal,1966,14,58,1312,5712
Warner,1966,9,39,664,3682
Other,1967,85,234,6732,23709
Sony,1967,8,18,624,1538
Universal,1967,36,72,2616,7349
Warner,1967,9,41,861,4020
Other,1968,67,233,4339,23327
Sony,1968,5,22,220,1635
Universal,1968,21,79,977,7378
Warner,1968,10,44,813,4358
Other,1969,73,244,3963,23326
Sony,1969,3,21,41,1380
Universal,1969,26,87,1159,7317
Warner,1969,11,42,766,3942
Other,1970,77,254,5327,24520
Sony,1970,7,24,640,1713
Universal,1970,28,93,1773,7837
Warner,1970,11,44,894,3998
Other,1971,87,265,5151,25512
Sony,1971,5,26,450,1975
Universal,1971,36,107,2027,8552
Warner,1971,12,43,908,4242
Other,1972,90,253,5445,24225
Sony,1972,5,22,438,1789
Universal,1972,32,100,1609,7545
Warner,1972,21,50,1258,4639
Other,1973,78,254,4833,24719
Sony,1973,5,23,425,1994
Universal,1973,28,104,1293,7861
Warner,1973,16,47,1087,4913
Other,1974,92,263,6329,27085
Sony,1974,10,28,600,2553
Universal,1974,30,109,2425,9127
Warner,1974,16,45,1234,5381
Other,1975,78,264,5297,27055
Sony,1975,4,25,372,2285
Universal,1975,32,105,2187,9541
Warner,1975,15,48,1003,5490
Other,1976,65,255,4235,26139
Sony,1976,5,25,442,2277
Universal,1976,24,94,1644,9158
Warner,1976,17,50,772,5354
Other,1977,71,242,4603,25297
Sony,1977,2,22,-46,1793
Universal,1977,22,86,1285,8834
Warner,1977,17,51,1327,5423
Other,1978,68,236,4605,25069
Sony,1978,4,20,234,1602
Universal,1978,25,89,1465,9006
Warner,1978,11,49,514,4850
Other,1979,56,208,3891,22631
Sony,1979,3,13,249,1251
Universal,1979,19,80,1571,8152
Warner,1979,5,42,311,3927
Other,1980,61,192,4243,21577
Sony,1980,5,12,260,1139
Universal,1980,22,77,1416,7381
Warner,1980,7,37,421,3345
Other,1981,47,177,2978,20320
Sony,1981,2,10,155,852
Universal,1981,16,71,1118,6855
Warner,1981,6,32,483,3056
Other,1982,55,180,3997,19714
Sony,1982,2,11,199,1097
Universal,1982,22,76,1514,7084
Warner,1982,4,23,344,2073
Other,1983,63,189,4515,19624
Universal,1983,27,79,2043,7662
Warner,1983,7,25,595,2154
Other,1984,61,189,4103,19836
Sony,1984,4,11,282,896
Universal,1984,23,79,1353,7444
Warner,1984,11,31,579,2422
Other,1985,58,192,4258,19851
Sony,1985,2,9,60,696
Universal,1985,38,89,2853,8881
Warner,1985,6,31,550,2551
Other,1986,56,197,4211,21084
Sony,1986,5,13,346,887
Universal,1986,26,88,1823,9586
Warner,1986,9,32,785,2853
Other,1987,54,195,3462,20549
Sony,1987,4,14,318,1006
Universal,1987,22,89,1448,9520
Warner,1987,11,38,803,3312
Other,1988,49,190,3461,19495
Sony,1988,4,16,266,1272
Universal,1988,22,92,1647,9124
Warner,1988,7,39,602,3319
Other,1989,48,187,3742,19134
Sony,1989,3,15,75,1065
Universal,1989,25,99,2012,9783
Warner,1989,6,32,490,3230
Other,1990,59,190,4422,19298
Sony,1990,7,17,366,1371
Universal,1990,28,90,2145,9075
Warner,1990,9,35,785,3465
Other,1991,56,194,4469,19556
Sony,1991,5,18,395,1420
Universal,1991,29,95,2080,9332
Warner,1991,7,36,631,3311
Other,1992,52,192,3704,19798
Sony,1992,6,20,425,1527
Universal,1992,23,95,1893,9777
Warner,1992,7,32,569,3077
Other,1993,58,200,4338,20675
Sony,1993,8,21,686,1947
Universal,1993,26,99,1755,9885
Warner,1993,10,35,819,3294
Other,1994,65,213,4098,21031
Sony,1994,12,26,835,2707
Universal,1994,17,89,1078,8951
Warner,1994,14,41,868,3672
Other,1995,71,219,5225,21834
Sony,1995,10,30,808,3149
Universal,1995,20,85,1373,8179
Warner,1995,9,40,729,3616
Other,1996,63,221,4513,21878
Sony,1996,14,40,889,3643
Universal,1996,21,81,1234,7333
Warner,1996,12,44,810,3795
Other,1997,78,242,5727,23901
Sony,1997,16,47,1289,4507
Universal,1997,28,85,2102,7542
Warner,1997,21,54,1688,4914
Other,1998,75,238,5358,24921
Sony,1998,18,50,1531,5352
Universal,1998,25,80,1148,6935
Warner,1998,13,50,963,5058
Other,1999,75,251,4752,25575
Sony,1999,22,57,1398,5915
Universal,1999,26,86,1815,7672
Warner,1999,10,50,645,4835
Other,2000,79,264,4719,25069
Sony,2000,14,60,1084,6191
Universal,2000,32,96,1946,8245
Warner,2000,17,58,1168,5274
Other,2001,93,275,5902,26458
Sony,2001,20,63,1680,6982
Universal,2001,32,108,2024,9035
Warner,2001,21,63,1437,5901
Other,2002,85,288,5503,26234
Sony,2002,11,61,666,6359
Universal,2002,29,111,2038,8971
Warner,2002,24,65,1408,5621
Other,2003,74,284,4834,25710
Sony,2003,14,61,1033,5861
Universal,2003,31,113,2266,10089
Warner,2003,15,67,958,5616
Other,2004,82,292,5827,26785
Sony,2004,18,58,1660,6123
Universal,2004,30,118,2224,10498
Warner,2004,20,77,1442,6413
Other,2005,88,307,5692,27758
Sony,2005,13,59,827,5866
Universal,2005,35,118,2316,10868
Warner,2005,33,87,2407,7652
Other,2006,96,297,6457,28313
Sony,2006,19,61,1442,5628
Universal,2006,47,125,3934,12778
Warner,2006,25,87,1908,8123
Other,2007,88,312,5895,28705
Sony,2007,15,63,1075,6037
Universal,2007,32,126,2531,13271
Warner,2007,26,90,1784,8499
Other,2008,66,305,4842,28713
Sony,2008,11,60,921,5925
Universal,2008,24,126,2023,13028
Warner,2008,19,95,1142,8683
Other,2009,95,313,6527,29413
Sony,2009,22,63,1499,5764
Universal,2009,33,132,2801,13605
Warner,2009,28,93,2252,9493
Other,2010,73,304,5227,28948
Sony,2010,16,66,1198,6135
Universal,2010,30,130,2233,13522
Warner,2010,20,89,1382,8468
Other,2011,73,282,5339,27830
Sony,2011,19,64,1400,6093
Universal,2011,34,121,2704,12292
Warner,2011,16,83,997,7557
Other,2012,80,279,6156,28091
Sony,2012,18,64,1566,6584
Universal,2012,32,127,2667,12428
Warner,2012,14,76,981,6754
Other,2013,61,279,5484,28733
Sony,2013,11,68,1045,6708
Universal,2013,32,133,2861,13266
Warner,2013,15,75,1320,6932
Other,2014,81,287,6835,29041
Sony,2014,14,65,1266,6475
Universal,2014,23,128,1904,12369
Warner,2014,21,69,1729,6409
Other,2015,55,274,4083,27897
Sony,2015,14,67,1266,6543
Universal,2015,18,115,1571,11707
Warner,2015,16,62,1374,6401
Other,2016,56,254,4536,27094
Sony,2016,9,60,775,5918
Universal,2016,22,102,1692,10695
Warner,2016,14,61,1199,6603
Other,2017,61,235,5096,26034
Sony,2017,11,50,837,5189
Universal,2017,22,94,1631,9659
Warner,2017,15,63,1007,6629
Other,2018,61,219,5280,25830
Sony,2018,7,45,504,4648
Universal,2018,29,87,2545,9343
Warner,2018,17,62,1431,6740
Other,2019,48,191,3692,22687
Sony,2019,4,35,370,3752
Universal,2019,17,82,1425,8864
Warner,2019,7,49,569,5580
Other,2020,43,183,3469,22073
Sony,2020,8,29,602,3088
Universal,2020,14,83,1097,8390
Warner,2020,12,46,969,5175
Other,2021,23,163,1793,19330
Sony,2021,2,24,40,2353
Universal,2021,10,75,864,7562
Warner,2021,6,43,460,4436
Other,2022,26,146,1945,16179
Sony,2022,3,19,278,1794
Universal,2022,10,71,721,6652
Warner,2022,7,39,566,3995
Other,2023,30,125,2223,13122
Sony,2023,3,16,44,1334
Universal,2023,14,57,1181,5288
Warner,2023,4,30,392,2956
Other,2024,20,105,1878,11308
Sony,2024,2,15,186,1150
Universal,2024,7,43,667,4530
Warner,2024,5,29,375,2762
Other,2025,10,78,966,8805
Sony,2025,2,9,194,742
Universal,2025,6,34,582,4015
Warner,2025,7,23,671,2464
Other,2026,1,63,91,7103
